store,latitude,longitude,depot_distance,demand
SW1 - East Malaysia Integrity Office & Distribution Centre,6.10069444,116.1868611,0,5
21319 - (SBH) Telipok Town,6.088804,116.196059,3,8
10814 - (SBH) D'Sulaman Square,6.044125,116.14715,13.4,3
11014 - (SBH) Menggatal Plaza,6.02162,116.149546,12.4,6
11114 - (SBH) Polytechnic Commercial Centre,6.093883,116.158038,4.4,5
11214 - (SBH) Universiti Plaza,6.043207,116.147749,11.3,8
10413 - (SBH) Kepayan Point,5.926078,116.075255,26.9,3
10513 - (SBH) Taman Nelly,5.979663,116.127473,17.4,6
11314 - (SBH) Inanam Business Centre,5.993969,116.129348,16.4,5
11414 - (SBH) Fortuna Centre,5.952706,116.07838,25.1,8
